rnd-6_family-192	LINE	CR1	NA	19
rnd-6_family-8513	Unknown	NA	NA	19
rnd-6_family-2562	Unknown	NA	NA	18
rnd-6_family-2263	Unknown	NA	NA	18
rnd-6_family-30	LTR	Pao	NA	18
rnd-6_family-43850	Unknown	NA	NA	18
rnd-6_family-4843	Unknown	NA	NA	18
rnd-6_family-799	Unknown	NA	NA	18
rnd-6_family-876	LTR	ERVK	NA	18
rnd-6_family-2260	LTR	ERVK	NA	18
rnd-6_family-2719	Unknown	NA	NA	18
rnd-6_family-2259	LTR	ERVK	NA	18
rnd-6_family-4901	Unknown	NA	NA	18
rnd-6_family-3430	Unknown	NA	NA	18
rnd-6_family-5040	DNA	Kolobok	NA	18
rnd-6_family-187	Unknown	NA	NA	18
rnd-6_family-7796	Unknown	NA	NA	18
rnd-6_family-9580	Unknown	NA	NA	18
rnd-6_family-5366	LINE	CR1	NA	18
rnd-6_family-626	Unknown	NA	NA	17
rnd-6_family-2378	LTR	ERVK	NA	17
rnd-6_family-18780	Unknown	NA	NA	17
rnd-6_family-3349	Unknown	NA	NA	17
rnd-6_family-36	Unknown	NA	NA	17
rnd-6_family-9352	LTR	ERV1	NA	17
rnd-6_family-2872	LTR	ERV1	NA	17
rnd-6_family-2449	LINE	CR1	NA	17
rnd-6_family-3801	Unknown	NA	NA	17
rnd-6_family-9702	Unknown	NA	NA	17
rnd-6_family-6726	Unknown	NA	NA	17
rnd-6_family-2280	Unknown	NA	NA	17
rnd-6_family-8695	LINE	CR1	NA	17
rnd-6_family-17501	Unknown	NA	NA	17
rnd-6_family-152	DNA	CMC	NA	17
rnd-6_family-13261	Unknown	NA	NA	17
rnd-6_family-6712	Unknown	NA	NA	17
rnd-6_family-3115	LTR	ERVK	NA	17
rnd-6_family-5068	LTR	ERVK	NA	17
rnd-6_family-20721	DNA	NA	NA	17
rnd-6_family-3431	Unknown	NA	NA	17
rnd-6_family-2256	Unknown	NA	NA	17
rnd-6_family-4883	Unknown	NA	NA	16
rnd-6_family-17307	LINE	CR1	NA	16
rnd-6_family-8288	LINE	CR1	NA	16
rnd-6_family-2604	DNA	hAT	NA	16
rnd-6_family-11440	Unknown	NA	NA	16
rnd-6_family-4872	DNA	TcMar	NA	16
rnd-6_family-4623	DNA	hAT	NA	16
rnd-6_family-954	LTR	ERV1	NA	16
rnd-6_family-8281	Unknown	NA	NA	16
rnd-6_family-3901	LINE	CR1	NA	16
